"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WHIRLPOOL","EQ","28-Mar-2019","       1518.45","       1512.00","       1542.80","       1476.00","       1498.00","       1500.80","       1504.62","      47866","            72020156.20","       3588","      22553","         47.12"
"WHIRLPOOL","EQ","29-Mar-2019","       1500.80","       1500.80","       1524.95","       1500.05","       1518.00","       1515.10","       1511.51","      23457","            35455376.55","       1716","      11518","         49.10"
"WHIRLPOOL","EQ","01-Apr-2019","       1515.10","       1529.95","       1549.80","       1502.00","       1509.80","       1505.70","       1523.05","      34111","            51952866.80","       3558","      15683","         45.98"
"WHIRLPOOL","EQ","02-Apr-2019","       1505.70","       1512.00","       1524.95","       1500.00","       1505.00","       1503.70","       1510.12","      26158","            39501819.60","       2637","      17975","         68.72"
"WHIRLPOOL","EQ","03-Apr-2019","       1503.70","       1507.00","       1518.15","       1485.05","       1489.00","       1490.05","       1500.96","      14123","            21198078.40","       1778","       9805","         69.43"
"WHIRLPOOL","EQ","04-Apr-2019","       1490.05","       1490.00","       1494.85","       1467.70","       1480.60","       1487.00","       1479.65","      17351","            25673451.00","       1508","      11262","         64.91"
"WHIRLPOOL","EQ","05-Apr-2019","       1487.00","       1485.15","       1509.00","       1450.20","       1458.00","       1459.05","       1464.43","      45517","            66656391.00","       4292","      18795","         41.29"
"WHIRLPOOL","EQ","08-Apr-2019","       1459.05","       1467.90","       1476.05","       1452.25","       1464.70","       1464.05","       1462.75","      41026","            60010969.70","       3586","      26043","         63.48"
"WHIRLPOOL","EQ","09-Apr-2019","       1464.05","       1456.25","       1459.90","       1435.50","       1451.10","       1443.50","       1443.23","      21179","            30566086.35","       2265","      12153","         57.38"
"WHIRLPOOL","EQ","10-Apr-2019","       1443.50","       1445.00","       1474.50","       1426.25","       1450.00","       1447.60","       1447.57","      25018","            36215209.80","       2112","      13013","         52.01"
"WHIRLPOOL","EQ","11-Apr-2019","       1447.60","       1453.00","       1459.95","       1427.60","       1433.00","       1433.75","       1440.64","      17494","            25202595.95","       2080","      10344","         59.13"
"WHIRLPOOL","EQ","12-Apr-2019","       1433.75","       1442.10","       1442.35","       1395.00","       1400.00","       1400.00","       1401.72","     350079","           490713527.80","       6841","     326084","         93.15"
"WHIRLPOOL","EQ","15-Apr-2019","       1400.00","       1409.70","       1429.45","       1397.10","       1425.00","       1418.80","       1414.08","      42916","            60686644.10","       5499","      26480","         61.70"
"WHIRLPOOL","EQ","16-Apr-2019","       1418.80","       1427.55","       1439.00","       1420.55","       1427.00","       1431.15","       1428.76","      25272","            36107562.75","       2113","      14736","         58.31"
"WHIRLPOOL","EQ","18-Apr-2019","       1431.15","       1439.00","       1458.95","       1424.95","       1427.00","       1429.60","       1433.70","      40436","            57973087.05","       4240","      21233","         52.51"
"WHIRLPOOL","EQ","22-Apr-2019","       1429.60","       1448.00","       1448.00","       1423.55","       1429.50","       1428.45","       1434.75","      25266","            36250316.30","       2507","      16087","         63.67"
"WHIRLPOOL","EQ","23-Apr-2019","       1428.45","       1430.00","       1438.05","       1385.00","       1394.00","       1397.30","       1412.56","      26232","            37054153.25","       1658","      20936","         79.81"
"WHIRLPOOL","EQ","24-Apr-2019","       1397.30","       1403.00","       1408.45","       1385.60","       1396.00","       1398.20","       1395.18","      30890","            43097088.70","       3869","      19479","         63.06"
"WHIRLPOOL","EQ","25-Apr-2019","       1398.20","       1398.20","       1428.80","       1392.55","       1414.60","       1405.20","       1408.61","      24607","            34661788.60","       2739","      13396","         54.44"
"WHIRLPOOL","EQ","26-Apr-2019","       1405.20","       1413.85","       1413.90","       1388.00","       1389.90","       1391.55","       1397.30","      66487","            92902597.55","       5116","      54491","         81.96"
"WHIRLPOOL","EQ","30-Apr-2019","       1391.55","       1392.05","       1410.00","       1375.00","       1394.00","       1392.70","       1395.42","      35885","            50074727.85","       2662","      17106","         47.67"
"WHIRLPOOL","EQ","02-May-2019","       1392.70","       1395.00","       1399.75","       1383.00","       1395.00","       1395.20","       1394.54","      19120","            26663663.50","       2255","      14192","         74.23"
"WHIRLPOOL","EQ","03-May-2019","       1395.20","       1395.20","       1399.95","       1380.45","       1395.00","       1393.40","       1394.03","      28929","            40327871.60","       2026","      20000","         69.13"
"WHIRLPOOL","EQ","06-May-2019","       1393.40","       1393.40","       1394.70","       1356.10","       1367.90","       1366.50","       1371.01","      29159","            39977396.50","       3671","      17130","         58.75"
"WHIRLPOOL","EQ","07-May-2019","       1366.50","       1369.50","       1387.95","       1355.10","       1358.00","       1367.75","       1373.04","      11133","            15286073.60","       1209","       7595","         68.22"
"WHIRLPOOL","EQ","08-May-2019","       1367.75","       1379.90","       1379.90","       1332.00","       1336.00","       1334.85","       1343.80","      19666","            26427160.80","       1578","      12289","         62.49"
"WHIRLPOOL","EQ","09-May-2019","       1334.85","       1335.00","       1353.90","       1325.00","       1335.00","       1335.30","       1337.96","       9258","            12386878.55","        878","       5041","         54.45"
"WHIRLPOOL","EQ","10-May-2019","       1335.30","       1336.00","       1380.35","       1336.00","       1376.90","       1369.90","       1350.33","      99470","           134317771.95","       1553","      86779","         87.24"
"WHIRLPOOL","EQ","13-May-2019","       1369.90","       1374.50","       1397.30","       1340.10","       1352.00","       1350.20","       1350.13","      28213","            38091121.90","       2102","      14998","         53.16"
"WHIRLPOOL","EQ","14-May-2019","       1350.20","       1350.25","       1380.00","       1345.00","       1371.00","       1376.60","       1369.85","      79311","           108644277.40","       3661","      69304","         87.38"
"WHIRLPOOL","EQ","15-May-2019","       1376.60","       1379.50","       1389.00","       1355.00","       1361.00","       1361.25","       1364.79","      86703","           118330999.85","       1452","      78659","         90.72"
"WHIRLPOOL","EQ","16-May-2019","       1361.25","       1374.90","       1376.80","       1350.00","       1372.00","       1367.40","       1366.70","      11594","            15845504.50","       1002","       6346","         54.74"
"WHIRLPOOL","EQ","17-May-2019","       1367.40","       1362.00","       1425.00","       1360.00","       1420.00","       1414.40","       1386.89","      25432","            35271343.20","       2096","      16184","         63.64"
"WHIRLPOOL","EQ","20-May-2019","       1414.40","       1480.00","       1482.00","       1404.05","       1418.90","       1417.20","       1425.53","      23908","            34081643.15","       2116","      12532","         52.42"
"WHIRLPOOL","EQ","21-May-2019","       1417.20","       1422.00","       1444.90","       1406.00","       1430.10","       1438.65","       1431.58","      35232","            50437519.90","       1796","      15823","         44.91"
"WHIRLPOOL","EQ","22-May-2019","       1438.65","       1430.00","       1468.30","       1405.00","       1407.00","       1419.45","       1447.11","      66934","            96861082.85","       3695","      30299","         45.27"
"WHIRLPOOL","EQ","23-May-2019","       1419.45","       1440.00","       1444.55","       1375.00","       1387.00","       1388.10","       1400.60","      37637","            52714456.45","       3355","      17516","         46.54"
"WHIRLPOOL","EQ","24-May-2019","       1388.10","       1410.00","       1410.00","       1353.00","       1382.00","       1374.95","       1374.99","      49093","            67502231.00","       5623","      26286","         53.54"
"WHIRLPOOL","EQ","27-May-2019","       1374.95","       1399.00","       1415.00","       1368.00","       1376.00","       1376.20","       1381.27","     488207","           674344410.35","      11934","     430252","         88.13"
"WHIRLPOOL","EQ","28-May-2019","       1376.20","       1388.00","       1425.00","       1378.60","       1400.00","       1413.10","       1407.63","     146828","           206680067.60","      10740","     100453","         68.42"
